ticker,secShortName,return20
001141,泰达宏利创盈灵活配置混合-A,0.0120068610635
000195,工银保本3号混合-A,0.0120171040991
000167,广发聚优灵活配置混合-A,0.0120824449183
001335,南方利众灵活配置混合-A,0.0122057541412
001142,泰达宏利创盈灵活配置混合-B,0.0122484689414
001228,国联安鑫享灵活配置混合-A,0.0123139617293
001257,兴业收益增强债券-A,0.0123784261715
000227,华安年年红债券-A,0.0124749730479
001303,银华稳利灵活配置混合-A,0.0125786163522
000416,大摩纯债稳定添利18个月定开债券-C,0.0127118644068
001221,国联安鑫富混合-A,0.0130463765356
000074,工银信用纯债一年定开债券-A,0.013209013209
000074,工银信用纯债一年定开债券-A,0.013209013209
000267,广发集利一年定开债券-A,0.0132263660017
000267,广发集利一年定开债券-A,0.0132263660017
001315,易方达新益灵活配置混合-E,0.0133876600698
000227,华安年年红债券-A,0.0134114382611
000416,大摩纯债稳定添利18个月定开债券-C,0.0136382536383
000352,国富恒丰定开债券-C,0.0137519872814
000297,鹏华可转债债券,0.0138728323699
001007,国联安鑫安灵活配置混合,0.0139040120613
000256,上投摩根红利回报混合-A,0.0139695610617
001314,易方达新益灵活配置混合-I,0.0139968895801
000307,易方达黄金ETF联接-A,0.0140158439976
000199,国泰策略收益灵活配置混合,0.0140236686391
000370,广发全球医疗保健-USD,0.0140778977006
001302,前海金银珠宝主题精选灵活配置混合-A,0.0141969831411
000263,工银信息产业混合,0.0142312117725
001172,鹏华弘泽灵活配置混合-A,0.0142332826067
000415,大摩纯债稳定添利18个月定开债券-A,0.0143914473684
000415,大摩纯债稳定添利18个月定开债券-A,0.0143914473684
000271,中邮定开债券-A,0.0145051194539
000218,国泰黄金ETF联接-A,0.0145617207576
000351,国富恒丰定开债券-A,0.0146008320904
000351,国富恒丰定开债券-A,0.0146008320904
000979,景顺长城沪港深精选股票,0.0146341463415
000272,中邮定开债券-C,0.0146494320407
001035,中银恒利半年定开债券,0.0147980938049
000352,国富恒丰定开债券-C,0.0148006684173
